Country: United States, found - 1247
Country: United Kingdom, found - 120
Country: Netherlands, found - 75
Country: Australia, found - 72
Country: Germany, found - 63
Country: France, found - 56
Country: Singapore, found - 46
Country: Canada, found - 46
Country: China, found - 45
Country: India, found - 39
Country: Belgium, found - 36
Country: Hong Kong, found - 32
Country: South Africa, found - 27
Country: Japan, found - 23
Country: Brazil, found - 20
Country: Taiwan, found - 19
Country: Philippines, found - 18
Country: Malaysia, found - 16
Country: Thailand, found - 15
Country: Italy, found - 14
